SFM Id,Allergens,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98
10918, Ingredient 5443, Ingredient 15438, Ingredient 18419, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16531, Ingredient 9456, Ingredient 1613, Ingredient 201, Ingredient 2023, Ingredient 2787, Ingredient 1600, Ingredient 9315, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23284, Ingredient 1607, Ingredient 1462, Ingredient 144962, Ingredient 188, Ingredient 1827, Ingredient 5986, Ingredient 1590, Ingredient 1600, Ingredient 124, Ingredient 9300, Ingredient 5468, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25628, Ingredient 214, Ingredient 201, Ingredient 215, Ingredient 1605, Ingredient 3793, Ingredient 800, Ingredient 5467, Ingredient 3565, Ingredient 204, Ingredient 8139, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29136, Ingredient 201, Ingredient 215, Ingredient 257, Ingredient 263, Ingredient 1598, Ingredient 1605, Ingredient 1805, Ingredient 2023, Ingredient 2350, Ingredient 3799, Ingredient 5236, Ingredient 5467, Ingredient 9315, Ingredient 12522, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29334, Ingredient 5272, Ingredient 5986, Ingredient 7086, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29436, Ingredient 1605, Ingredient 5467, Ingredient 201, Ingredient 1589, Ingredient 2000, Ingredient 7086, Ingredient 1827, Ingredient 2023, Ingredient 3793, Ingredient 5986, Ingredient 1590, Ingredient 124, Ingredient 80, Ingredient 94128, Ingredient 2737, Ingredient 5560, Ingredient 61707, Ingredient 83935, Ingredient 95438, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32949, Ingredient 614, Ingredient 1600, Ingredient 1607, Ingredient 2023, Ingredient 2046, Ingredient 9375, Ingredient 26137, Ingredient 2013, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33338, Ingredient 9297, Ingredient 9337, Ingredient 1605, Ingredient 1990, Ingredient 8469, Ingredient 132762, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34423, Ingredient 62, Ingredient 65964, Ingredient 201, Ingredient 257, Ingredient 608, Ingredient 614, Ingredient 800, Ingredient 9335, Ingredient 1588, Ingredient 1589, Ingredient 1598, Ingredient 144962, Ingredient 1600, Ingredient 1605, Ingredient 1997, Ingredient 2008, Ingredient 2350, Ingredient 3799, Ingredient 4617, Ingredient 5467, Ingredient 6841, Ingredient 12522, Ingredient 9338, Ingredient 1967, Ingredient 35361, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
